subID,trial_num,action_Stage1,action_Stage2,state_Stage2,reward
101,1,1,2,2,0.0
101,2,1,2,2,0.0
101,3,2,2,2,0.0
101,4,2,1,3,0.0
101,5,2,1,2,0.0
101,6,1,1,3,1.0
101,7,1,1,2,1.0
101,8,1,1,2,0.0
101,9,1,1,2,1.0
101,10,1,1,3,0.0
101,11,1,1,2,0.0
101,12,1,1,2,1.0
101,13,1,2,3,0.0
101,14,1,1,2,0.0
101,15,1,1,2,0.0
101,16,2,2,3,1.0
101,17,1,2,2,1.0
101,18,1,2,3,1.0
101,19,2,2,3,0.0
101,20,2,2,3,0.0
101,21,1,1,2,1.0
101,22,1,1,2,0.0
101,23,1,1,2,0.0
101,24,1,2,2,0.0
101,25,1,2,2,1.0
101,26,1,1,2,1.0
101,27,1,1,2,1.0
101,28,1,1,2,1.0
101,29,1,1,2,1.0
101,30,1,1,2,1.0
101,31,1,2,3,0.0
101,32,1,1,2,0.0
101,33,1,1,2,1.0
101,34,1,2,3,0.0
101,35,1,2,3,0.0
101,36,1,1,2,0.0
101,37,2,2,3,0.0
101,38,1,1,2,1.0
101,39,1,1,3,0.0
101,40,1,1,2,0.0
101,41,1,1,2,1.0
101,42,1,1,2,1.0
101,43,1,2,2,1.0
101,44,1,2,2,1.0
101,45,1,2,2,0.0
101,46,1,1,2,0.0
101,47,1,1,2,0.0
101,48,1,2,2,0.0
101,49,1,2,2,1.0
101,50,1,1,2,0.0
101,51,1,2,3,0.0
101,52,2,1,3,0.0
101,53,1,2,2,0.0
101,54,1,2,3,1.0
101,55,1,2,3,0.0
101,56,1,2,2,1.0
101,57,1,2,2,0.0
101,58,1,2,2,0.0
101,59,1,2,2,0.0
101,60,1,2,3,0.0
101,61,1,1,3,1.0
101,62,1,2,2,1.0
101,63,1,2,2,1.0
101,64,1,2,2,1.0
101,65,1,2,2,1.0
101,66,1,2,3,1.0
101,67,1,2,2,0.0
101,68,1,2,2,0.0
101,69,1,1,2,1.0
101,70,1,1,2,0.0
101,71,1,2,3,0.0
101,72,1,2,2,0.0
101,73,1,1,2,1.0
101,74,2,1,3,0.0
101,75,2,1,2,1.0
101,76,2,1,2,1.0
101,77,2,2,3,1.0
