subID,group,manipulation,time,n_entries
101,short_training,devaluation,pre,5
101,short_training,devaluation,post,0
101,short_training,still_valued,pre,5
101,short_training,still_valued,post,24
101,short_training,still_valued_post_deval,pre,5
101,short_training,still_valued_post_deval,post,12
102,short_training,devaluation,pre,5
102,short_training,devaluation,post,20
102,short_training,still_valued,pre,5
102,short_training,still_valued,post,72
102,short_training,still_valued_post_deval,pre,5
102,short_training,still_valued_post_deval,post,4
103,short_training,devaluation,pre,7
103,short_training,devaluation,post,14
103,short_training,still_valued,pre,5
103,short_training,still_valued,post,45
103,short_training,still_valued_post_deval,pre,6
103,short_training,still_valued_post_deval,post,4
105,short_training,devaluation,pre,5
105,short_training,devaluation,post,2
105,short_training,still_valued,pre,5
105,short_training,still_valued,post,35
105,short_training,still_valued_post_deval,pre,5
105,short_training,still_valued_post_deval,post,2
106,short_training,devaluation,pre,6
106,short_training,devaluation,post,2
106,short_training,still_valued,pre,5
106,short_training,still_valued,post,67
106,short_training,still_valued_post_deval,pre,5
106,short_training,still_valued_post_deval,post,51
107,short_training,devaluation,pre,5
107,short_training,devaluation,post,0
107,short_training,still_valued,pre,6
107,short_training,still_valued,post,18
107,short_training,still_valued_post_deval,pre,5
107,short_training,still_valued_post_deval,post,20
108,short_training,devaluation,pre,5
108,short_training,devaluation,post,6
108,short_training,still_valued,pre,5
108,short_training,still_valued,post,7
108,short_training,still_valued_post_deval,pre,5
108,short_training,still_valued_post_deval,post,3
111,short_training,devaluation,pre,5
111,short_training,devaluation,post,1
111,short_training,still_valued,pre,5
111,short_training,still_valued,post,30
111,short_training,still_valued_post_deval,pre,5
111,short_training,still_valued_post_deval,post,6
114,short_training,devaluation,pre,5
114,short_training,devaluation,post,1
114,short_training,still_valued,pre,5
114,short_training,still_valued,post,89
114,short_training,still_valued_post_deval,pre,5
114,short_training,still_valued_post_deval,post,53
115,short_training,devaluation,pre,5
115,short_training,devaluation,post,0
115,short_training,still_valued,pre,5
115,short_training,still_valued,post,4
115,short_training,still_valued_post_deval,pre,6
115,short_training,still_valued_post_deval,post,1
116,short_training,devaluation,pre,5
116,short_training,devaluation,post,4
116,short_training,still_valued,pre,5
116,short_training,still_valued,post,25
116,short_training,still_valued_post_deval,pre,5
116,short_training,still_valued_post_deval,post,23
117,short_training,devaluation,pre,6
117,short_training,devaluation,post,12
117,short_training,still_valued,pre,5
117,short_training,still_valued,post,15
117,short_training,still_valued_post_deval,pre,5
117,short_training,still_valued_post_deval,post,1
118,short_training,devaluation,pre,5
118,short_training,devaluation,post,2
118,short_training,still_valued,pre,5
118,short_training,still_valued,post,498
118,short_training,still_valued_post_deval,pre,5
118,short_training,still_valued_post_deval,post,723
119,short_training,devaluation,pre,5
119,short_training,devaluation,post,5
119,short_training,still_valued,pre,5
119,short_training,still_valued,post,11
119,short_training,still_valued_post_deval,pre,5
119,short_training,still_valued_post_deval,post,9
123,short_training,devaluation,pre,5
123,short_training,devaluation,post,6
123,short_training,still_valued,pre,5
123,short_training,still_valued,post,125
123,short_training,still_valued_post_deval,pre,5
123,short_training,still_valued_post_deval,post,108
124,short_training,devaluation,pre,6
124,short_training,devaluation,post,3
124,short_training,still_valued,pre,5
124,short_training,still_valued,post,4
124,short_training,still_valued_post_deval,pre,5
124,short_training,still_valued_post_deval,post,5
125,short_training,devaluation,pre,5
125,short_training,devaluation,post,24
125,short_training,still_valued,pre,5
125,short_training,still_valued,post,49
125,short_training,still_valued_post_deval,pre,5
125,short_training,still_valued_post_deval,post,53
127,short_training,devaluation,pre,5
127,short_training,devaluation,post,0
127,short_training,still_valued,pre,5
127,short_training,still_valued,post,34
127,short_training,still_valued_post_deval,pre,5
127,short_training,still_valued_post_deval,post,10
128,short_training,devaluation,pre,5
128,short_training,devaluation,post,2
128,short_training,still_valued,pre,8
128,short_training,still_valued,post,17
128,short_training,still_valued_post_deval,pre,5
128,short_training,still_valued_post_deval,post,4
130,short_training,devaluation,pre,5
130,short_training,devaluation,post,1
130,short_training,still_valued,pre,5
130,short_training,still_valued,post,12
130,short_training,still_valued_post_deval,pre,5
130,short_training,still_valued_post_deval,post,11
131,short_training,devaluation,pre,5
131,short_training,devaluation,post,121
131,short_training,still_valued,pre,5
131,short_training,still_valued,post,55
131,short_training,still_valued_post_deval,pre,5
131,short_training,still_valued_post_deval,post,55
133,short_training,devaluation,pre,6
133,short_training,devaluation,post,1
133,short_training,still_valued,pre,5
133,short_training,still_valued,post,15
133,short_training,still_valued_post_deval,pre,5
133,short_training,still_valued_post_deval,post,4
134,short_training,devaluation,pre,5
134,short_training,devaluation,post,4
134,short_training,still_valued,pre,5
134,short_training,still_valued,post,8
134,short_training,still_valued_post_deval,pre,5
134,short_training,still_valued_post_deval,post,1
135,short_training,devaluation,pre,5
135,short_training,devaluation,post,2
135,short_training,still_valued,pre,5
135,short_training,still_valued,post,171
135,short_training,still_valued_post_deval,pre,5
135,short_training,still_valued_post_deval,post,32
136,short_training,devaluation,pre,5
136,short_training,devaluation,post,20
136,short_training,still_valued,pre,5
136,short_training,still_valued,post,40
136,short_training,still_valued_post_deval,pre,7
136,short_training,still_valued_post_deval,post,67
137,short_training,devaluation,pre,5
137,short_training,devaluation,post,1
137,short_training,still_valued,pre,5
137,short_training,still_valued,post,94
137,short_training,still_valued_post_deval,pre,5
137,short_training,still_valued_post_deval,post,8
138,short_training,devaluation,pre,7
